"","MH63_germfree2","MH63_germfree3","MH63_microbiota1","MH63_microbiota3"
"LOC4349881",1.38413188312433,1.54797266219987,1.33753121252301,1.334994825297
"LOC4349884",8.53297417581155,8.33244072129384,8.51274019768932,8.36358944533716
"LOC4349885",8.4434715437991,8.42852514787809,8.85159829135497,8.73077104057096
"LOC4349886",5.93925976511895,5.9871548781779,6.10883339863979,6.23033060089912
"LOC4349887",8.96145809951641,8.98115333657873,9.48431558512671,9.13623547004986
"LOC4349889",8.2020477438125,7.92356487659723,8.6427004385446,8.89570475321548
"LOC4349890",12.5580614586608,12.5203652819609,13.0644109240341,13.0197932802252
"LOC4349891",5.78805771679572,5.84586246844392,5.51575756212374,5.69318808113204
"LOC4349894",7.58718774193443,7.58944908355471,6.55693576370717,6.85368641461196
"LOC4349896",0,0,0,0
"LOC4349897",4.68934962666001,4.93180425392696,4.64015884527631,4.38134857124232
"LOC4349898",7.82864639771821,7.64167079866437,7.77747477902909,7.81842758676853
"LOC4349899",10.8351563778914,10.8572313905654,10.976296192898,11.1110744972276
"LOC4349901",6.987257879591,6.77844378996712,7.29965428062788,7.34898227015151
"LOC4349902",3.97447033471515,3.83535477198753,3.94002831243235,3.74796490443253
"LOC4349906",3.83579155734774,3.99205497594404,3.63181732564679,3.60640689354052
"LOC4349912",5.73314957243181,5.67332660070907,5.07662337698475,5.31947132648391
"LOC4349913",11.3153178290702,11.1745125022373,11.4203163783817,11.5811000619659
"LOC4349916",8.9583094281382,8.91558146163927,7.39973709757799,7.87514974009266
"LOC4349917",8.12255048711631,8.24146256008661,8.0210171600446,8.01391722050109
"LOC4349919",0,0,0,0
"LOC4349921",10.1571727272519,10.1936693482561,10.0437245364445,10.1430858937384
"LOC4349922",-0.472883950288279,-0.425134041470472,-0.472519876286909,-0.453095511002553
"LOC4349923",9.67651287212115,9.76063383601314,9.54961193106317,9.51247863477815
"LOC4349924",8.66221208917164,8.66657189378327,8.19148352180309,8.35124702413527
"LOC4349927",9.18208538879274,8.90325805750681,9.25691291408864,8.68961012261713
"LOC4349929",9.57038951562,9.47346271788927,9.69480030562859,9.3716451080812
"LOC4349930",6.90991595119569,7.05593012509282,6.61266052222823,6.64783628043054
"LOC4349931",6.59387338049519,6.56293396697137,5.91037335282476,6.90626355817009
"LOC4349932",2.71479625707666,2.56158215702647,2.59324236428596,2.87897561673183
"LOC4349933",9.41249201466804,8.80615577322766,9.89892296219117,9.96782109742723
"LOC4349934",9.74322291674293,9.52065257325288,9.37151846841981,9.30287347930954
"LOC4349938",7.73640980828854,7.49849270767738,8.24853661648217,7.76377469304281
"LOC4349939",10.3379617841957,10.3405290410513,10.4397669940216,10.5634992459106
"LOC4349942",9.30092286744515,9.43120811934582,9.06053327387115,9.16527713616409
"LOC4349944",3.67551627178758,3.69795941852534,3.48980876388902,3.77023245054335
"LOC4349945",1.16905346006866,1.40866796344486,1.17050115164583,1.16808343223277
"LOC4349946",5.22645617463291,5.22938104948847,4.65679011326203,4.67420253460486
"LOC4349947",8.31493253173535,7.96482760006682,7.31281180219672,7.36674040056224
"LOC4349948",12.9183447120212,13.0018713322574,11.7807177721277,11.8959636555905
"LOC4349949",7.98159507824183,7.98712297159477,7.69101207921098,7.59570814637295
"LOC4349950",0,0,0,0
"LOC4349951",0.996287674517144,0.996806300744201,1.19025605988382,0.995573432512853
"LOC4349952",5.64609179631874,5.53528671793456,6.571692346183,6.69766924865934
"LOC4349954",10.0934930613607,10.14079829977,10.0136865220902,10.0707782080986
"LOC4349956",10.8124707371001,10.8426757999988,9.87947415364444,10.7105512174388
"LOC4349962",6.67149439991095,6.79743676508907,5.98811860946625,6.23523885695245
"LOC4349963",12.8446967424045,12.5455896644166,12.7689803117756,12.3797133102603
"LOC4349964",-0.00187925170650849,-0.043052061805221,-0.0669866941819368,-0.0677940285419671
"LOC4349966",11.5926642022538,11.6513021693297,11.7841298073633,11.9089135372383
"LOC4349967",0,0,0,0
"LOC4349968",8.01957515688085,7.87463010131504,8.11857178191326,8.26726439297115
"LOC4349969",6.59996618998672,6.58079441098123,6.85068680131771,6.66540308151102
"LOC4349970",14.1717511694886,14.2732309126283,9.6247290161324,9.9404281656393
"LOC4349971",1.41176281257606,1.43908045160944,1.42011850541016,1.44471407196176
"LOC4349972",-0.318622261321211,-0.293964772027011,-0.266387612343563,-0.318899665698968
"LOC4349978",7.8081604069219,7.81814218067657,7.8320322914607,7.8583292100596
"LOC4349979",9.01403364217288,9.05146514928692,8.73123973996313,8.73643358042628
"LOC4349980",-1.05512548873978,-1.03213285285437,-1.05325353447732,-1.03572765743175
"LOC4349981",0,0,0,0
"LOC4349982",0,0,0,0
"LOC4349984",0,0,0,0
"LOC4349985",6.66021161210265,6.77225192440142,6.32903444925442,6.10842671820575
"LOC4349986",10.9122404089849,10.9166607346011,10.3306800869876,10.3039845682005
"LOC4349987",8.55425412028079,8.19454399066978,8.16550643320699,8.13445201781244
"LOC4349988",10.297128156011,10.4732151514064,9.44712295250229,10.9012874306478
"LOC4349989",2.17168617500736,2.19949787247191,2.40173415542731,2.3856732190903
"LOC4349991",6.2738560403672,6.25144695159508,7.42176493145684,7.24331877480774
"LOC4349995",7.34621996941709,7.37257201511317,8.31488402007017,8.10789249236413
"LOC4349996",4.92227728780869,5.1043966485691,5.22285313371414,4.95645150021847
"LOC4349997",9.04220727875483,8.99769870829192,8.12879492163867,8.22112573756626
"LOC4349998",9.1126508369474,9.14690783145033,9.24277841925301,9.14298285837286
"LOC4349999",8.40975627697573,8.51608231573781,8.56807516693353,8.50498805866903
"LOC4350002",13.40523337383,13.201669623588,13.1779206969914,13.2830924482504
"LOC4350003",9.15180008340989,9.40353292831164,9.19295530661031,9.27350967717078
"LOC4350004",10.7966830743725,10.8433958903808,10.256577202219,10.5029861072646
"LOC4350006",5.43834491545321,5.47671731817377,5.26190633283823,5.24074917132123
"LOC4350008",3.19815092284685,3.25516116415495,3.17713215463757,3.39776425544113
"LOC4350009",7.51651847884749,7.50068624236105,7.13853348323001,7.32396726361835
"LOC4350011",4.35874623435721,4.40543207660071,4.57991510926558,4.4886333313083
"LOC4350016",6.93063652418177,6.9662955881751,6.86903566763836,6.52753669328759
"LOC4350020",0,0,0,0
"LOC4350023",9.05012311643998,8.77536127934665,8.28014810560143,8.04319311850023
"LOC4350026",8.05174179905416,7.9260462449597,8.06794087331866,8.08100746697989
"LOC4350029",6.21787780942639,6.07849370733442,5.83216757222426,6.50210304679068
"LOC4350030",10.2169816065732,10.1586530537257,10.1034724397262,10.186514617828
"LOC4350031",10.3947700680779,10.3240333337979,10.2507477579626,10.2330516492225
"LOC4350032",10.5607414740208,10.5811604422349,10.4281578809288,10.5534804743178
"LOC4350033",10.687461991643,10.762370510874,10.3130377371897,10.5476754889448
"LOC4350034",5.9101554088268,6.15634233601882,6.10553312153124,6.25932254564892
"LOC4350036",6.37221885307979,6.19672711537931,6.73833693039674,6.16484969850831
"LOC4350037",7.09933037297082,7.07180473639984,7.29227033696167,7.26452924006045
"LOC4350038",2.04560716462049,1.9413801545032,1.99535140515986,2.04931797979416
"LOC4350039",3.80166805423701,3.54118283187577,3.7598862112891,3.71533011530146
"LOC4350043",4.15623403165752,4.0450583960381,3.96344582683577,4.08245966362237
"LOC4350045",0,0,0,0
"LOC4350046",6.65198543600897,6.51685015013042,6.41988482842202,6.57393278312121
"LOC4350047",6.06555644980555,6.21630396741262,5.4716843931023,5.97189656407781
"LOC4350049",8.78115895126748,8.66323248295663,9.02141914910024,8.95473918391759
"LOC4350051",3.72128046159244,3.65396171151779,3.17200771163409,3.20989033656188
