"","kit_germfree1","kit_germfree3","kit_germfree4","kit_microbiota1","kit_microbiota2","kit_microbiota3"
"LOC4349874",5.3956328019387,5.76047541106511,5.54754541345479,5.54077167420147,5.33049438665032,5.58885316387532
"LOC4349875",3.23529247423808,3.38076271955906,3.30004406700098,3.30747247120448,3.40445883972579,3.11947260698316
"LOC4349876",15.6145456367282,15.5547226625339,15.7778273508048,17.3440542417433,17.5588050119325,17.4442125738289
"LOC4349877",1.88149604440336,1.85484856707681,1.89059122248378,1.96156783703511,1.99934743192947,2.05330998801199
"LOC4349878",13.398302464299,13.4937500205141,13.509569321342,13.5013005555738,13.3677290251021,13.4283147604485
"LOC4349880",12.3918644273356,12.3887840901549,12.3606230463826,12.4034566843642,12.3917277716594,12.3807824852338
"LOC4349884",10.5299753010817,10.4616471808429,10.544136652924,10.5262211144965,10.4637983601378,10.4098655367061
"LOC4349885",9.42122405941884,9.42555979214474,9.52011479858176,9.10313928594319,9.08356277567645,9.11744664478032
"LOC4349886",6.40485856641562,6.58764557240446,6.61033217177052,6.73252222944981,6.68180146571862,6.73769276187384
"LOC4349887",10.3922238254137,10.4081445264079,10.3596185448611,10.7333864472928,10.7074120709218,10.9826287677106
"LOC4349889",10.3835572736219,10.3145703344946,10.5975455788782,10.0336669583986,10.0156553199701,10.2315744429015
"LOC4349890",13.5048399339217,13.4632503026451,13.3797284771073,14.0307911452006,13.9783756996436,14.0425961649177
"LOC4349891",7.40743364081846,7.59066198842894,7.77677868504479,7.32485967057271,7.53125284598375,7.42301623371603
"LOC4349894",9.6018797798778,9.81265828505471,9.72441216625807,9.42779919934681,9.63218020210708,9.42352105274067
"LOC4349896",8.02040719002597,7.40728709907411,7.50660905704271,11.4938919469325,12.4005559933092,11.1955950638264
"LOC4349897",10.7418018669098,11.5115307182414,9.81868953858397,10.6143445953513,9.20242733444143,10.1284567089544
"LOC4349898",9.36321822606014,9.30731744121948,9.28368320825077,9.41602137642602,9.61589951365569,9.43160441041057
"LOC4349899",12.7091433083839,12.8002969513727,12.7685732969772,12.741611312301,12.7494326160558,12.6961401762363
"LOC4349901",9.86892892512225,9.65887881657741,9.91496764543024,9.55619971466234,9.46247854469842,9.77350982291764
