"","C1","C2","C3","C4","C5","C6","K1","K2","K3","K4","K5","K6","R1","R2","R3","R4","R5","R6","SC1","SC2","SC3","SC4","SC5","SC6","SK1","SK2","SK3","SK4","SK5","SK6","SR1","SR3","SR4","SR5","SR6"
"ASV_70",15,12,23,25,24,64,19,41,12,11,16,33,0,9,15,46,11,20,69,210,128,181,69,164,63,142,107,169,135,331,120,127,120,112,123
"ASV_71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,77,159,107,130,214,199,117,19,116,228,37,103,235,98,32,293
"ASV_72",18,21,9,27,6,42,31,26,24,13,49,43,3,19,0,0,10,0,33,293,0,42,16,162,48,809,16,14,82,254,0,11,268,25,118
"ASV_73",89,63,64,252,25,154,84,87,103,41,168,29,87,32,58,199,33,36,60,71,80,63,17,114,102,51,23,30,54,34,59,46,33,33,38
"ASV_74",194,69,53,41,16,20,166,7,148,4,51,101,22,456,92,0,161,126,30,11,0,0,0,161,96,22,0,93,0,39,57,16,0,55,171
"ASV_75",268,116,168,141,105,53,147,44,133,254,133,80,224,122,162,56,11,64,0,0,7,0,0,5,0,0,1,0,0,15,0,15,5,0,0
"ASV_76",140,84,127,143,69,121,181,123,203,157,92,139,72,140,75,123,68,266,5,4,0,0,0,15,9,0,16,0,0,0,0,0,0,0,0
"ASV_77",1,0,8,1,15,0,22,55,62,4,57,95,2,10,5,22,0,0,40,0,289,111,55,57,226,52,329,12,93,634,0,61,7,0,33
"ASV_79",137,41,83,11,37,22,125,84,111,68,58,8,28,37,22,3,17,11,67,106,139,82,109,82,230,24,0,47,120,0,116,156,45,0,83
"ASV_80",11,32,18,11,13,0,18,6,14,10,10,9,0,19,3,9,7,0,123,107,91,92,144,53,58,61,90,104,115,69,134,91,78,259,293
"ASV_81",111,88,104,39,121,47,78,139,174,9,133,94,280,127,79,76,178,94,0,0,0,7,0,9,0,0,0,0,0,0,0,0,16,0,0
"ASV_82",0,5,0,8,0,0,0,17,0,0,13,10,0,5,0,3,0,0,126,141,86,140,142,116,111,79,99,106,174,141,140,59,76,36,195
"ASV_83",19,114,117,86,158,55,30,115,65,146,84,144,53,41,59,177,10,56,27,30,32,32,2,26,12,67,28,66,20,16,9,13,11,5,0
"ASV_84",160,66,128,105,62,43,72,49,184,251,99,78,116,75,72,97,14,99,17,10,19,38,1,12,0,56,65,0,0,21,16,33,18,0,0
"ASV_85",67,113,79,67,223,381,52,144,52,27,76,429,24,5,79,21,18,36,0,0,0,24,0,0,0,6,19,0,0,38,0,0,0,0,0
"ASV_86",28,18,17,44,21,0,21,43,57,0,18,19,15,0,19,0,0,0,56,112,80,35,138,15,74,47,146,61,71,129,65,116,67,348,116
