"","Stock","Genus2","Phylum","Class","Annotation","variable","value","group"
"114","W114","Chryseobacterium","Bacteroidota","Bacteroidia","W114_Bacteroidota_Chryseobacterium","S11S5",0.252030243629235,"Soil"
"115","W106_ZH1","Bacillus","Firmicutes","Bacilli","W106_ZH1_Firmicutes_Bacillus","S11S5",0.000304925479946482,"Soil"
"116","ZH398","Paenibacillus","Firmicutes","Bacilli","ZH398_Firmicutes_Paenibacillus","S11S5",0.00271943744360434,"Soil"
"117","Nontarget","Nontarget","Nontarget","Nontarget","Nontarget_Nontarget_Nontarget","S11S5",0.000808985967204954,"Soil"
"118","ZH126","Rhizobiaceae_Genus","Alphaproteobacteria","Alphaproteobacteria","ZH126_Proteobacteria_Rhizobiaceae_Genus","S11S5",0.0160801518404431,"Soil"
"119","X137","Burkholderia-Caballeronia-Paraburkholderia","Gammaproteobacteria","Gammaproteobacteria","X137_Proteobacteria_Burkholderia-Caballeronia-Paraburkholderia","S11S5",0.247661719406329,"Soil"
"120","W169","Pseudomonas","Gammaproteobacteria","Gammaproteobacteria","W169_Proteobacteria_Pseudomonas","S11S5",0.443237188462616,"Soil"
"121","ZH149","Uliginosibacterium","Gammaproteobacteria","Gammaproteobacteria","ZH149_Proteobacteria_Uliginosibacterium","S11S5",0.025806652353838,"Soil"
"122","W237","Microbacterium","Actinobacteriota","Actinobacteria","W237_Actinobacteriota_Microbacterium","S11S6",0.00283838358182419,"Soil"
"123","W86","Pseudarthrobacter","Actinobacteriota","Actinobacteria","W86_Actinobacteriota_Pseudarthrobacter","S11S6",0.00249549160549643,"Soil"
"124","ZH243","Chitinophaga","Bacteroidota","Bacteroidia","ZH243_Bacteroidota_Chitinophaga","S11S6",0.00624825379086129,"Soil"
"125","W114","Chryseobacterium","Bacteroidota","Bacteroidia","W114_Bacteroidota_Chryseobacterium","S11S6",0.197550227324681,"Soil"
"126","W106_ZH1","Bacillus","Firmicutes","Bacilli","W106_ZH1_Firmicutes_Bacillus","S11S6",8.88979197886769e-05,"Soil"
"127","ZH398","Paenibacillus","Firmicutes","Bacilli","ZH398_Firmicutes_Paenibacillus","S11S6",0.00237484442864037,"Soil"
"128","Nontarget","Nontarget","Nontarget","Nontarget","Nontarget_Nontarget_Nontarget","S11S6",0.000488938558837723,"Soil"
"129","ZH126","Rhizobiaceae_Genus","Alphaproteobacteria","Alphaproteobacteria","ZH126_Proteobacteria_Rhizobiaceae_Genus","S11S6",0.0181161260826497,"Soil"
"130","X137","Burkholderia-Caballeronia-Paraburkholderia","Gammaproteobacteria","Gammaproteobacteria","X137_Proteobacteria_Burkholderia-Caballeronia-Paraburkholderia","S11S6",0.19340377435168,"Soil"
"131","W169","Pseudomonas","Gammaproteobacteria","Gammaproteobacteria","W169_Proteobacteria_Pseudomonas","S11S6",0.553605445632572,"Soil"
"132","ZH149","Uliginosibacterium","Gammaproteobacteria","Gammaproteobacteria","ZH149_Proteobacteria_Uliginosibacterium","S11S6",0.0227896167229687,"Soil"
