"","MH63_germfree2","MH63_germfree3","MH63_microbiota1","MH63_microbiota3","kit_germfree1","kit_germfree3","kit_germfree4","kit_microbiota1","kit_microbiota2","kit_microbiota3","ID","cl"
"LOC4338149",-1.35616527998454,-1.32989152247288,-0.897774412159256,-0.947519561043618,0.593396383967842,0.464788121905235,0.65129630865497,0.777561215852186,0.99151663217724,1.05279211310282,"LOC4338149",6
"LOC107276445",0.107730734100483,0.788990530429415,-1.06496555820287,-1.47723634536728,-0.0587045505308343,-1.13524375470769,-0.389198649415791,1.26097276247726,1.18373226911596,0.78392256210135,"LOC107276445",6
"LOC4336094",-1.15594548339106,-1.18484933726017,-1.1272437906606,-1.10967484120602,0.611706723970093,0.666962148036497,0.436999603373242,0.996109802571511,0.846998937183004,1.0189362373835,"LOC4336094",6
"LOC4339878",-1.15541331968992,-1.15541331968992,-1.15541331968992,-1.15541331968992,0.620583920305192,0.71613326688585,0.616091930067477,0.963956114673092,0.850613554617845,0.854274492210215,"LOC4339878",6
"LOC9267316",-1.20105453997872,-1.14496189887904,-1.12770397093321,-1.12809692034041,0.651266615587357,0.572242541817143,0.622425716514304,0.793915626315925,0.916839482914579,1.04512734698207,"LOC9267316",6
"LOC4340972",-1.15657004729168,-1.15657004729168,-1.15657004729168,-1.15657004729168,0.635191630729134,0.662723059319892,0.678158680431237,0.83072799954477,0.882787136904479,0.936691682237199,"LOC4340972",6
"LOC9269182",-1.15468634156743,-1.15468634156743,-1.15468634156743,-1.15468634156743,0.699466025693141,0.566700633560443,0.659518425643351,0.936048253535327,0.907651867151841,0.849360160685615,"LOC9269182",6
"LOC9266870",-1.18613531395024,-1.05692607511365,-1.11275195475931,-1.23448028204185,0.65051968306195,0.554171910262689,0.552480128230882,0.901349212344336,0.96344876480254,0.968323927162654,"LOC9266870",6
"LOC4331383",-1.19194546148168,-0.933076864148625,-1.04179880930759,-0.774622273783132,0.199952036786273,0.147220594519848,-0.130219443254153,1.69879064488927,0.953611744199918,1.07208783157987,"LOC4331383",6
"LOC112937664",-1.12884828929987,-1.12632547697612,-0.799244289242854,-0.767536466442042,0.417273370586209,-0.206539240435363,-0.212452940034703,1.47817142353175,1.0470595368115,1.2984423715015,"LOC112937664",6
"LOC107276546",-1.16900214975689,-1.11502012311345,-1.15159083304796,-1.18252303265313,0.640524545332921,0.62943937227501,0.632439792475371,0.884952460595466,0.924816510822504,0.905963457070159,"LOC107276546",6
"LOC4324793",-1.36739498504128,-1.36613993591817,-0.846214293081632,-0.726112992250491,0.665307217361757,0.155742698078131,0.259002285109781,1.07988903382793,0.978214711274155,1.16770626063982,"LOC4324793",6
"LOC107281709",-0.938785238969254,-1.10506669363514,-0.861269214639862,-1.10158151354601,-0.00617848557019665,0.189438486829823,0.0444297097142055,1.07698130061297,1.56777379451155,1.13425785469192,"LOC107281709",6
"LOC107280284",-1.03819371968301,-0.960873389842744,-0.924870420539929,-0.934823278824859,0.0927179417900397,-0.147957922660185,0.0169865994730876,1.13202254227622,1.12292394522925,1.64206770278213,"LOC107280284",6
"LOC4330940",-0.109644170736925,0.128861823801025,-1.13837005162514,-1.54632816351111,0.186942224163231,-0.492345022431927,-0.55347742860144,1.38161498320297,1.56943293258892,0.573312873150399,"LOC4330940",6
"LOC107278161",-1.08499973389579,-0.715899582020638,-1.03617917482949,-1.25901681227101,0.141901300868086,0.431523821100421,-0.0745952718949536,1.16071827762648,1.46718272693879,0.969364448378106,"LOC107278161",6
"LOC4336446",-1.12499629091872,-1.1604088396674,-1.15745950110296,-1.15811682816971,0.682737363024096,0.67839792084114,0.4693795819744,0.953334647207932,0.922442975681383,0.894688971129837,"LOC4336446",6
"LOC4328579",-1.04004590177138,-1.12332866870746,-1.2577876449566,-1.16534526887252,0.645050730999879,0.586426612033931,0.51489010906014,0.907900924900724,0.976639871033051,0.955599236280234,"LOC4328579",6
"LOC9266373",-1.0204391226126,-0.989321511360796,-0.771664280257768,-0.428902493685654,0.350722372854009,-0.478350464960053,-0.658768636660528,1.46362890686604,1.08734512020799,1.44575010960936,"LOC9266373",6
"LOC4329064",-1.1644594675141,-1.16440177026825,-1.16434033015413,-1.14212622044875,0.716315834412913,0.649754453396822,0.69936012497762,0.838759227353795,0.894992395488596,0.836145752755484,"LOC4329064",6
"LOC107275300",-1.29962349210299,-1.08834797242179,-1.00365727561924,-1.13335710797359,0.419234263963731,0.55575639250453,0.54848310581192,1.1598310203734,0.857230839740272,0.984450225723756,"LOC107275300",6
"LOC4327585",-1.33992520120302,-1.13474902633997,-0.540283584145354,-0.311549975482268,0.0578752375386219,0.0633303790394768,-0.568074690068397,0.928503902779854,1.80265724352144,1.0422157143596,"LOC4327585",6
"LOC107281021",-1.16038190501788,-1.16022644581728,-1.15644298550266,-1.16061391855505,0.681881468411643,0.738146166950191,0.673054116501886,0.874830788411329,0.855043973001853,0.814708741615967,"LOC107281021",6
"LOC107279467",-1.17129952176577,-1.1352701979878,-1.17099651354189,-1.15130972846076,0.660624118483116,0.663127378922103,0.665294652653886,0.861963956342048,0.876531335093524,0.901334520261554,"LOC107279467",6
"LOC4324067",0.785229845356803,1.61493894651428,0.088240276912716,0.0208442933993211,-0.982287819631539,-1.28975786031969,-1.50821746866243,0.748578159665959,-0.0279590151151573,0.550390641879752,"LOC4324067",6
"LOC107275817",-1.1379864588256,-1.1379864588256,-1.1379864588256,-1.1379864588256,0.607027360887676,0.630810664435778,0.593823410188118,0.78396867542732,0.64284989414328,1.29346583022024,"LOC107275817",6
"LOC9270230",-1.16498138939842,-1.12483005427725,-1.16468802335488,-1.15128233439686,0.657876286467475,0.511806453738809,0.713557673950915,0.857401053142396,0.839822933290311,1.0253174008375,"LOC9270230",6
"LOC4351803",-1.15816316542006,-1.15816316542006,-1.15816316542006,-1.15816316542006,0.691667795604925,0.657844757963138,0.692042868208828,0.802165471948694,0.916111356670249,0.87282041128439,"LOC4351803",6
"LOC4339811",-1.34623485646179,-1.19245613557563,-1.04305975809945,-0.881726035409762,0.397590624996387,0.328786286770983,0.622959869237186,1.05886463068818,0.947777959754349,1.10749741409956,"LOC4339811",6
"LOC4350055",-0.278102225053496,0.448724519135787,-0.745772324978963,-1.1374881622843,-0.0326827192836856,-1.0363453196715,-0.720000292021343,0.614203464379403,0.838833927148553,2.04862913262954,"LOC4350055",6
"LOC107276255",-1.16042705356232,-1.14498603366384,-1.13884126254769,-1.15898439699061,0.548391137799908,0.571704564878587,0.726872352925576,0.863597056978248,0.87784303718055,1.01483059700159,"LOC107276255",6
"LOC4350224",-1.39657145600552,-1.42356091503264,-0.82931901643877,-0.754070088003081,0.730857259214292,0.265625054238965,0.426468923151802,0.933178500118949,0.941972443829527,1.10541929492648,"LOC4350224",6
"LOC4324243",-1.15817206586514,-1.15817206586514,-1.15817206586514,-1.15817206586514,0.677638241685144,0.678204070643516,0.671571566569166,0.838526578485805,0.9001282812271,0.866619524849843,"LOC4324243",6
