"","kit_germfree1","kit_germfree3","kit_germfree4","kit_microbiota1","kit_microbiota2","kit_microbiota3","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC4336951",99.265414,69.309127,69.248484,193.27316,130.346568,164.183902,6263.06017676388,1.07678958401452,0.169277787533061,6.36108020849583,2.00339787928858e-10,1.38917430220669e-09
"LOC4336246",6.128888,4.199268,4.686825,8.549216,11.033521,12.206372,623.876619213515,1.12267173800461,0.17670785676573,6.35326441366439,2.1079291911754e-10,1.45792960323631e-09
"LOC107278613",8.270461,6.925063,4.672855,35.275891,25.247754,56.279356,895.923368458473,2.59014291987378,0.408735019472034,6.33697333597567,2.34322523861606e-10,1.61517767930361e-09
"LOC4339308",2.298484,2.36228,2.749776,4.629453,4.518137,5.521585,292.753999250293,1.01976394283143,0.161080516293433,6.33077150667786,2.43938362008597e-10,1.67861503803379e-09
"LOC107275279",1.135264,0.307724,0.623342,4.086431,3.375868,3.508333,69.704778345937,2.45567507753933,0.388096556554867,6.32748483866582,2.49189446578763e-10,1.71378304088319e-09
"LOC4326683",1.541916,1.840873,1.729646,4.139294,3.62791,4.608669,154.166795905889,1.31005747440711,0.207124768139243,6.3249677292404,2.53285510434768e-10,1.74097232855303e-09
"LOC107275898",7.146204,7.73246,5.401881,13.365773,15.501445,12.326839,596.827312748104,1.06402342725381,0.168241281797797,6.32438968536048,2.5423539876884e-10,1.7465177633408e-09
"LOC107275972",0,0,0,0.841272,0.333432,0.838377,28.1063644896894,8.15925269563367,1.29080502474559,6.32105743254433,2.59779444510512e-10,1.78259676176907e-09
"LOC107276789",0.684369,0.312158,0.516099,1.676576,1.795072,2.033041,86.9558061292886,1.91756003493325,0.303858520195585,6.31070023542199,2.77775763434498e-10,1.90448057132281e-09
"LOC4347868",206.396907,170.766495,138.100555,418.752254,308.460276,303.11588,12018.9230960672,1.03838676353729,0.164780320035713,6.30164308038873,2.94506734487714e-10,2.01466378233636e-09
