"","kit_germfree1","kit_germfree3","kit_germfree4","kit_microbiota1","kit_microbiota2","kit_microbiota3","MH63_germfree2","MH63_germfree3","MH63_microbiota1","MH63_microbiota3","Kit_microbiota_vs_germfree_log2FoldChange","Kit_microbiota_vs_germfree_pvalue","Kit_microbiota_vs_germfree_padj","MH63_microbiota_vs_germfree_log2FoldChange","MH63_microbiota_vs_germfree_pvalue","MH63_microbiota_vs_germfree_padj"
"LOC107277287",75.3367513821381,65.3361038824026,64.6695268205926,31.7515311087421,26.1180384062606,32.2434090927428,14.4888985210273,15.7885704306443,10.3165247140624,8.49094608122037,-1.19131491674023,0.000239573825744762,0.000766385050953885,-0.691915882494681,0.440873331558973,0.605768294947819
"LOC107278720",118.890810774937,108.893506470671,109.76801262969,36.5623691555212,47.3389446113473,72.8076979513546,24.1481642017122,16.8411417926873,8.02396366649298,8.49094608122037,-1.11227653539199,0.000244304299234445,0.000780494677449521,-1.31129852731604,0.129234159787936,0.249177267762136
"LOC4332760",30.6055552489936,9.67942279739297,5.95640378610721,0,0.816188700195643,0,11.5911188168219,5.26285681021477,11.4628052378471,6.7927568649763,-5.51534108797141,0.000247434878246273,0.000789566022778798,0.100502057259952,0.928411335738688,0.957658403427589
"LOC9266695",56.5025635366036,59.286464634032,48.5021451154444,26.940693061963,17.1399627041085,16.6417595317382,0,2.10514272408591,18.3404883805554,7.64185147309833,-1.434190646937,0.000249381552891267,0.00079494644677681,3.65195529163766,0.0297788302837922,0.0778359668116098
"LOC4348196",88.2852555259431,73.8055988301214,35.7384227166433,26.940693061963,19.5885288046954,16.6417595317382,56.9896675160408,64.2068530846202,32.0958546659719,16.1327975543187,-1.63737627188735,0.000252206686886027,0.000803427409751259,-1.34607766333945,0.0206022646647194,0.0576308694376833
"LOC4330828",57.6797002769495,77.4353823791438,32.3347634102963,21.1676874058281,5.7133209013695,15.6016495610046,0,0,0,0,-1.98602361519813,0.000254631837008486,0.000810412554140452,0,0,0
"LOC4343441",4164.70978734382,6099.24629020725,1413.36952696058,172.228002074692,8.97807570215207,1.04010997073364,185.45790106915,194.725701977946,14.9016468092013,1.69818921624407,-6.00182574942228,0.000254859173505598,0.000810818913832722,-4.59822666539723,6.13652386331601e-12,1.01968112894697e-10
"LOC4342640",16.4799143648427,24.1985569934824,22.1237854912554,3.84867043742329,4.08094350097821,1.04010997073364,66.6489331967257,52.6285681021477,13.7553662854165,15.2837029461967,-2.77918884509052,0.000260273289658095,0.000826965693045404,-2.03499415198941,0.000403000609018139,0.00194273905904169
"LOC4346335",42.3769226524527,26.6184126928307,31.4838485837095,9.62167609355821,9.79426440234772,7.28076979513546,1.93185313613698,1.05257136204295,33.2421351897566,28.8692166761493,-1.9043112165803,0.000261996163276734,0.000831681929153144,4.36481014077911,0.000126501697923281,0.000684476089055319
"LOC9271971",70.6282044207545,36.2978354902236,17.8692113583216,8.65950848420239,1.63237740039129,10.4010997073364,0,0,0,0,-2.61129893750405,0.00026347799294088,0.000835950975133368,0,0,0
