"","MH63_germfree2","MH63_germfree3","MH63_microbiota1","MH63_microbiota3","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC4347162",1.654848,0.876621,2.925674,2.515998,95.0299868306487,1.17708328918055,0.440611119781901,2.67147885365036,0.00755178305193665,0.024760181771672
"LOC9271306",3.847229,4.817463,8.042491,13.623759,52.8676959496557,1.4229663054838,0.533110061021156,2.66917923619403,0.00760368620073792,0.0249083181524983
"LOC4330588",0,0.047289,0.62106,0.699212,7.73518380044455,4.88355044476243,1.83006138933825,2.66851728210513,0.00761868588940536,0.0249501021327367
"LOC4336190",0.259888,0.290994,1.188436,0.959531,20.3502477406222,2.01313371254396,0.754649402051258,2.66764103578687,0.00763858217141406,0.0250042104559848
"LOC4328654",6.456368,4.659418,13.382004,7.971007,157.008354611485,1.01874862254247,0.382566868853854,2.66292955684996,0.00774636286788872,0.0252974273856889
"LOC4328777",0.549316,0.869437,1.646426,9.114045,119.866450099726,3.04549232475588,1.14494510585817,2.65994614866115,0.00781531460480505,0.0254889085534151
"LOC4325264",0,0,0.244282,0.438718,4.90352556613471,5.72956338645618,2.15879732515947,2.65405340264303,0.00795312391175236,0.0258549208846308
"LOC4341174",1.242273,1.025921,4.026703,4.624617,20.1693777995808,2.00856469503681,0.758046830308457,2.6496577978164,0.0080573335746449,0.026174561274851
"LOC4346271",0.858037,0.551965,3.176661,4.573957,13.8735594747097,2.57114604189669,0.970536923910764,2.64919961162972,0.00806826616306341,0.0262024191649706
"LOC4335917",1.287045,1.420648,3.477433,3.736658,33.276684345628,1.52795132167456,0.576859385321788,2.64874137537388,0.00807921322666255,0.0262226492946552
"LOC9270706",5.741865,2.894251,8.811858,12.375045,65.6332584049704,1.38926862491048,0.52614512759359,2.6404665786121,0.0082791958120813,0.0267857043786385
"LOC107278218",0.121255,1.030111,1.731128,8.092301,22.7673580998979,3.14111291450707,1.18984729020561,2.63992946016147,0.00829232850254517,0.0268164857595762
"LOC107279261",0.88078,0.956717,2.415613,1.476038,76.2149032301457,1.16475541564025,0.44193776185649,2.63556436260924,0.00839974940759576,0.0271008022898094
"LOC4349744",0.479408,0.530967,3.022329,1.154868,24.6015154948834,2.1354050138133,0.811437748875178,2.63163134420776,0.00849760140412128,0.0273671965995884
"LOC107278220",1.847504,1.882157,4.660296,3.162021,69.0270975292259,1.14813651830854,0.436640392524282,2.62947848610842,0.00855159426309481,0.0274909767569964
"LOC107276325",7.13159,6.724435,10.150416,23.35952,89.983613292372,1.37165959611589,0.521673909148424,2.62934291338237,0.00855500461866229,0.0274915670151948
"LOC9267535",0.53946,0.202331,0.836142,2.423597,33.3937539890403,2.2124950968138,0.845799502011629,2.61586237820152,0.00890024223430854,0.0284227356500117
"LOC4339336",1.007603,1.633919,5.409702,2.963833,32.3346287111554,1.75722233923699,0.673493529007391,2.60911540134145,0.0090776623415168,0.0289311449023714
"LOC4348561",0,0,0.231143,7.849606,71.4194751305998,9.58909818130749,3.6755794318112,2.60886708047071,0.00908425207403225,0.0289479971853173
"LOC9268844",0.469137,0.216582,0.85232,1.590438,29.2548544105559,1.96989742757646,0.755395479665041,2.60776967906925,0.00911342516829492,0.0290243205510243
"LOC4336826",0.862257,0.280751,2.285962,2.18876,27.1365233463555,1.99278733622578,0.765710558651941,2.60253344257672,0.00925377894667231,0.0294207446476999
"LOC4342064",2.146384,2.703178,4.529994,4.864442,70.7018982355998,1.05417124518005,0.405606309707183,2.59900110020743,0.00934954736179526,0.0296827768805932
"LOC107276368",0.187453,0.276187,1.356699,1.291273,12.5286900768344,2.60210728691714,1.0015580797518,2.59805930332267,0.00937523009445815,0.0297515687539378
"LOC4337155",0.224094,0.583112,1.277561,1.800898,25.5430215824313,2.00359663403212,0.77216265934619,2.59478570969569,0.00946499103532961,0.0300021593510812
"LOC4336520",4.989278,6.867312,8.844019,14.747737,113.98620539159,1.09156380915144,0.420834920552501,2.59380520922162,0.00949202482466778,0.0300707021839326
"LOC4336798",0.594106,0.554126,0.655731,4.096177,59.0136833863505,2.16049581592749,0.835079756869702,2.58717301928874,0.00967669890125192,0.0305947165346322
"LOC4334628",0.042303,0,0.355,0.32676,8.3158708538299,3.9805536436844,1.53864131710447,2.5870575548922,0.00967994219085252,0.0306006191851591
"LOC4326148",1.924026,1.218424,3.695453,3.402785,54.8818695609613,1.24952020593788,0.483999433876425,2.58165633775701,0.00983274446195555,0.0310043125262598
"LOC4330682",0.095365,0.026792,0.579239,0.3789,11.2802415470286,3.01010848009468,1.16637289779652,2.58074281885432,0.00985879965978063,0.0310732482046927
"LOC4337625",0.498673,0.323595,1.254072,1.081284,30.6311943281851,1.6230734493391,0.629114042139248,2.57993517966945,0.00988188619440761,0.0311283615415507
"LOC107276473",0,0.063772,0.257843,0.523189,10.7344568269165,3.69263366520707,1.43141367459386,2.57971104422682,0.00988830168543308,0.0311397466532909
"LOC4339715",0.987454,0,4.171986,3.693357,18.1708085376206,3.05053674814921,1.18263842832327,2.57943313449928,0.00989626152562529,0.0311559873264269
"LOC4343580",0.792333,0.601028,3.066126,1.30927,38.7790735554573,1.713356111843,0.664655288636458,2.57781159818641,0.00994281920368329,0.031271565901187
"LOC4332399",7.298216,5.771493,9.623831,17.239307,110.720807202082,1.12765318207124,0.437972176199032,2.57471420184188,0.0100322945193359,0.0315173101665104
"LOC4349395",3.197636,2.633057,5.919349,24.676524,207.223278126561,2.48952301139455,0.967307506709612,2.57366245390041,0.0100628393327718,0.0315954112251822
"LOC4326483",0.070041,0,0.723128,1.224923,7.27835951317342,4.8156228372306,1.87182624493367,2.57268688814717,0.0100912456764424,0.0316756551072067
"LOC4347274",1.54671,1.860757,3.406833,5.226785,41.3405829095541,1.44892226902544,0.563944688838804,2.56926308147145,0.0101915053419234,0.0319542713675056
"LOC4344478",12.220378,11.812806,14.057674,31.797925,324.955657303593,1.03052636464173,0.40149975159484,2.56669240901961,0.0102673644770916,0.0321603711495037
"LOC9268494",0,0,0.06939,0.596052,5.66770791062458,5.94265868445498,2.31826195772449,2.56341120754448,0.0103649208796378,0.0324293957102429
"LOC4324241",1.350098,3.01037,4.73134,5.035803,82.9332629314078,1.25300268966577,0.488938251665529,2.56270129284735,0.0103861362282615,0.0324774918091332
"LOC4339101",13.097835,12.064227,24.803424,118.987082,2253.67837535244,2.61430754265188,1.02044465563756,2.56192977072186,0.0104092364841085,0.0325314246206331
