"","MH63_germfree2","MH63_germfree3","MH63_microbiota1","MH63_microbiota3","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC4352700",16.383579,17.021163,16.642861,17.232736,358.802063448952,0.110729791770256,0.195946880553014,0.565101069523265,0.572005021089927,0.717847574728627
"LOC4346346",73.657724,66.600626,80.498675,63.029697,530.360773940384,0.116988048672943,0.207173197131049,0.564687181030187,0.572286554901708,0.718160353058061
"LOC107279893",0.230348,0.474535,0.404916,0.583779,10.7435180127856,0.570793654265529,1.01092282937731,0.564626337123196,0.57232794748438,0.718171760719055
"LOC4341766",1.04189,0.240866,0.535787,0.237836,8.75317022607312,-0.70697631777327,1.25235659394786,-0.564516784747894,0.572402480401733,0.718224750085881
"LOC4349672",0.834715,0.821396,1.342754,0.861286,15.5919416468646,0.461230912276912,0.817401209038929,0.564265023316042,0.57257378136685,0.718399146790585
"LOC4332129",46.361882,47.460297,46.476102,46.063268,1908.1301758379,0.0686287951305772,0.121646049972061,0.564167888281942,0.572639879510145,0.718441534966935
"LOC4351546",0.124068,0.064243,0.13706,0.114999,11.627634872045,0.542816322447624,0.962734245308146,0.563827790579821,0.572871336669157,0.718691368252193
"LOC4326744",1.663698,2.908997,2.50576,2.649916,61.6809213724739,0.269128613968773,0.477839228847906,0.563220007318476,0.573285080652522,0.719169846986826
"LOC4327781",25.372308,27.348783,25.311433,27.322129,898.967699347931,0.0879296989530146,0.156145135541842,0.563128006824473,0.573347721658588,0.719207847869295
"LOC112939891",1.568027,2.238028,1.033187,4.172317,17.3927284981904,0.548777274416195,0.974829768233691,0.562946775220593,0.573471127554269,0.719322063690497
"LOC4333145",32.00627,36.010653,29.325126,31.227806,2229.27814471868,-0.077498470621551,0.13769665751178,-0.562820274812558,0.573557272840812,0.719387481047716
"LOC4344085",42.511414,51.193369,46.959447,47.231199,759.934193078455,0.0974178804852841,0.173102664651378,0.562775163984217,0.573587994266759,0.719387481047716
"LOC4350794",1.315572,1.41857,1.220729,0.886105,30.3628717058071,-0.333496892311962,0.59299868780131,-0.56239060755511,0.573849916968668,0.719675383797631
"LOC4334649",5.591766,4.3437,4.485728,3.851659,159.988946161929,-0.170660649232037,0.303504488182027,-0.562300248850629,0.573911468812634,0.719711979587754
"LOC4336921",1.039309,0.733455,0.415413,0.602606,7.3427676857923,-0.652602728513254,1.16092158399835,-0.562141954726704,0.57401930542243,0.719806611249684
"LOC4343956",119.003369,121.419454,115.157218,97.629197,818.095161954298,-0.0918146334516587,0.163352903800562,-0.562063062948398,0.574073053400576,0.719833410199932
