"","o1_xgl_root_1","o1_xgl_root_2","o1_xgl_root_3","o1_xgl_soil_1","o1_xgl_soil_2","o1_xgl_soil_3","o2_xgl_root_1","o2_xgl_root_2","o2_xgl_root_3","o2_xgl_soil_1","o2_xgl_soil_2","o2_xgl_soil_3","s1_xgl_root_1","s1_xgl_root_2","s1_xgl_root_3","s1_xgl_soil_1","s1_xgl_soil_2","s1_xgl_soil_3","s2_xgl_root_1","s2_xgl_root_2","s2_xgl_root_3","s2_xgl_soil_1","s2_xgl_soil_2","s2_xgl_soil_3","XF1_1","XF1_2","XF1_3","XF2_1","XF2_2","XF2_3"
"ASV_136",121,16,56,0,0,0,238,105,15,0,0,0,72,82,119,6,0,0,202,119,160,0,174,0,0,0,0,0,0,0
"ASV_137",251,122,351,60,69,104,0,0,47,0,0,22,46,123,38,11,0,0,62,41,61,0,0,63,0,0,0,0,0,0
"ASV_138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,56,26,32,69,0,100,72,74,458,101,90,23,99,115,130
"ASV_139",0,0,0,38,86,51,0,0,0,416,449,123,5,0,0,0,0,0,0,14,0,132,23,116,0,0,0,0,0,0
"ASV_140",0,0,0,0,133,60,0,0,0,67,0,0,0,18,0,0,159,45,0,17,39,222,177,398,49,24,16,0,0,19
"ASV_141",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,17,32,26,29,11,75,12,22,86,313,80,65,186,223,256
"ASV_142",0,0,0,0,0,0,0,0,0,0,0,0,27,0,14,0,0,0,83,258,1056,0,0,0,0,0,0,0,0,0
"ASV_143",0,0,0,0,0,0,0,0,0,0,0,0,31,37,45,37,24,16,0,0,0,0,0,13,263,146,88,218,260,252
"ASV_144",75,0,0,0,0,0,0,0,0,0,0,0,6,8,339,79,35,23,56,17,7,4,0,772,0,0,0,0,0,0
"ASV_145",0,0,0,0,0,0,0,0,0,0,0,0,10,164,33,0,0,0,283,469,312,0,30,108,0,0,0,0,0,0
"ASV_146",0,0,22,0,86,0,0,234,0,567,0,0,0,0,0,0,0,0,269,23,129,0,0,75,0,0,0,0,0,0
"ASV_147",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,199,127,46,309,336,380
"ASV_148",0,0,0,0,0,0,0,0,0,0,0,0,30,241,137,0,0,0,225,249,501,0,20,0,0,0,0,0,0,0
