"","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV_11987","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA
"ASV_11988","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales",NA,NA
"ASV_11989","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA
"ASV_11990","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae",NA
"ASV_11991","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter"
"ASV_11992","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA
"ASV_11993","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA
"ASV_11994","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA
"ASV_11995","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales",NA,NA
"ASV_11996","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","SB-5",NA
"ASV_11997","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prolixibacteraceae","BSV13"
"ASV_11998","Bacteria",NA,NA,NA,NA,NA
"ASV_11999","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Chromobacteriaceae","Paludibacterium"
"ASV_12000","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Aquincola"
"ASV_12001","Bacteria","Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Pedosphaera"
"ASV_12002","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324_clade(Marine_group_B)",NA,NA
"ASV_12003","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto_10"
"ASV_12004","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta_2"
"ASV_12005","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prolixibacteraceae","BSV13"
"ASV_12006","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Gallionellaceae","Ferriphaselus"
"ASV_12007","Bacteria","Bacteroidetes","Bacteroidia",NA,NA,NA
"ASV_12008","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus"
"ASV_12009","Bacteria","Proteobacteria","Deltaproteobacteria",NA,NA,NA
"ASV_12010","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Archangiaceae","Anaeromyxobacter"
"ASV_12011","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XIII","Anaerovorax"
"ASV_12012","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter"
"ASV_12013","Bacteria","Acidobacteria","Holophagae","Holophagales","Holophagaceae","Geothrix"
"ASV_12014","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prolixibacteraceae","WCHB1-32"
"ASV_12015","Bacteria","Kiritimatiellaeota","Kiritimatiellae","WCHB1-41",NA,NA
"ASV_12016","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto_1"
"ASV_12017","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospirillaceae",NA
"ASV_12018","Bacteria","Proteobacteria","Deltaproteobacteria",NA,NA,NA
"ASV_12019","Eukaryota",NA,NA,NA,NA,NA
"ASV_12020","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Gallionellaceae",NA
"ASV_12021","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Bosea"
"ASV_12022","Eukaryota",NA,NA,NA,NA,NA
"ASV_12023","Bacteria",NA,NA,NA,NA,NA
"ASV_12024","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Sulfuricellaceae","Sulfuricella"
"ASV_12025","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1",NA
"ASV_12026","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Sedimentibacter"
