geno,variable,value,group,
fls2,Rhodocyclaceae,0.315867465,fls2_root,Keep
fls2,Rhodocyclaceae,0.320579693,fls2_root,Keep
fls2,Rhodocyclaceae,0.339843518,fls2_root,Keep
fls2,Rhodocyclaceae,0.481269634,fls2_root,Keep
fls2,Rhodocyclaceae,0.411445676,fls2_root,Keep
Kitaake,Bacillaceae,0.054649991,fls2_soil,Keep
Kitaake,Bacillaceae,0.045551538,fls2_soil,Keep
Kitaake,Bacillaceae,0.074921463,fls2_soil,Keep
Kitaake,Bacillaceae,0.057732203,fls2_soil,Keep
Kitaake,Bacillaceae,0.04119495,fls2_soil,Keep
Kitaake,Bacillaceae,0.069764685,fls2_soil,Keep
fls2,Bacillaceae,0.034200699,fls2_soil,Keep
fls2,Bacillaceae,0.059243673,fls2_soil,Keep
fls2,Bacillaceae,0.035978899,fls2_soil,Keep
fls2,Bacillaceae,0.030733211,fls2_soil,Keep
fls2,Bacillaceae,0.036630905,fls2_soil,Keep
Kitaake,Bacillus,0.054649991,fls2_soil,Keep
Kitaake,Bacillus,0.045551538,fls2_soil,Keep
Kitaake,Bacillus,0.074921463,fls2_soil,Keep
Kitaake,Bacillus,0.057732203,fls2_soil,Keep
Kitaake,Bacillus,0.04119495,fls2_soil,Keep
Kitaake,Bacillus,0.069764685,fls2_soil,Keep
fls2,Bacillus,0.034200699,fls2_soil,Keep
fls2,Bacillus,0.059243673,fls2_soil,Keep
fls2,Bacillus,0.035978899,fls2_soil,Keep
fls2,Bacillus,0.030733211,fls2_soil,Keep
fls2,Bacillus,0.036630905,fls2_soil,Keep
Kitaake,Bacilli,0.063629897,fls2_soil,Keep
Kitaake,Bacilli,0.052545789,fls2_soil,Keep
Kitaake,Bacilli,0.086805761,fls2_soil,Keep
Kitaake,Bacilli,0.064637544,fls2_soil,Keep
Kitaake,Bacilli,0.05014522,fls2_soil,Keep
Kitaake,Bacilli,0.079426234,fls2_soil,Keep
fls2,Bacilli,0.043328789,fls2_soil,Keep
fls2,Bacilli,0.071365064,fls2_soil,Keep
fls2,Bacilli,0.043684429,fls2_soil,Keep
fls2,Bacilli,0.044425345,fls2_soil,Keep
fls2,Bacilli,0.047774287,fls2_soil,Keep
Kitaake,Pseudomonadaceae,0.036364175,fls2_soil,Keep
Kitaake,Pseudomonadaceae,0.02373896,fls2_soil,Keep
Kitaake,Pseudomonadaceae,0.035534349,fls2_soil,Keep
Kitaake,Pseudomonadaceae,0.025013336,fls2_soil,Keep
Kitaake,Pseudomonadaceae,0.014344141,fls2_soil,Keep
Kitaake,Pseudomonadaceae,0.02418351,fls2_soil,Keep
fls2,Pseudomonadaceae,0.013395768,fls2_soil,Keep
fls2,Pseudomonadaceae,0.021397665,fls2_soil,Keep
fls2,Pseudomonadaceae,0.017989449,fls2_soil,Keep
fls2,Pseudomonadaceae,0.012002845,fls2_soil,Keep
fls2,Pseudomonadaceae,0.010728469,fls2_soil,Keep
Kitaake,Malikia,0.010787742,fls2_soil,Keep
Kitaake,Malikia,0.04048367,fls2_soil,Keep
Kitaake,Malikia,0,fls2_soil,Keep
Kitaake,Malikia,0.010698832,fls2_soil,Keep
Kitaake,Malikia,0.061377512,fls2_soil,Keep
Kitaake,Malikia,0.023146227,fls2_soil,Keep
fls2,Malikia,0.080285697,fls2_soil,Keep
fls2,Malikia,0.019767649,fls2_soil,Keep
fls2,Malikia,0.077410942,fls2_soil,Keep
fls2,Malikia,0.068253216,fls2_soil,Keep
fls2,Malikia,0.04881157,fls2_soil,Keep
Kitaake,Geobacteraceae,0.120028451,fls2_soil,Keep
Kitaake,Geobacteraceae,0.089413787,fls2_soil,Keep
Kitaake,Geobacteraceae,0.058947306,fls2_soil,Keep
Kitaake,Geobacteraceae,0.111107818,fls2_soil,Keep
Kitaake,Geobacteraceae,0.124266493,fls2_soil,Keep
Kitaake,Geobacteraceae,0.091932903,fls2_soil,Keep
fls2,Geobacteraceae,0.170351491,fls2_soil,Keep
fls2,Geobacteraceae,0.13209057,fls2_soil,Keep
fls2,Geobacteraceae,0.098482603,fls2_soil,Keep
fls2,Geobacteraceae,0.12269575,fls2_soil,Keep
fls2,Geobacteraceae,0.17248533,fls2_soil,Keep
Kitaake,Geobacter,0.120028451,fls2_soil,Keep
Kitaake,Geobacter,0.089413787,fls2_soil,Keep
Kitaake,Geobacter,0.058947306,fls2_soil,Keep
Kitaake,Geobacter,0.111107818,fls2_soil,Keep
Kitaake,Geobacter,0.124266493,fls2_soil,Keep
Kitaake,Geobacter,0.091932903,fls2_soil,Keep
fls2,Geobacter,0.170351491,fls2_soil,Keep
fls2,Geobacter,0.13209057,fls2_soil,Keep
fls2,Geobacter,0.098482603,fls2_soil,Keep
